Date,Open,High,Low,Close,Volume,Halving_Event,Simple_Returns,Log_Returns,SMA_20,EMA_20,SMA_50,EMA_50,SMA_200,EMA_200,Daily_Volatility_20D,Annualized_Volatility_20D,High_Low_Range,High_Low_Percentage_Range,RSI,MACD_Line,MACD_Signal_Line,MACD_Histogram,Bollinger_Bands_Middle,Bollinger_Bands_Upper,Bollinger_Bands_Lower,Bollinger_Bands_Width,Close_Lag_1,Close_Lag_7,Close_Lag_30,Volume_Lag_1,Volume_Lag_7,Volume_Lag_30,High_Lag_1,High_Lag_7,High_Lag_30,Low_Lag_1,Low_Lag_7,Low_Lag_30,Close_Diff1
2014-09-17,465.864013671875,468.1740112304688,452.4219970703125,457.3340148925781,21056800,1,,,,457.3340148925781,,457.3340148925781,,457.3340148925781,,,15.752014160156307,0.0344431283202415,,,,,,,,,,,,,,,,,,,,,
2014-09-18,456.8599853515625,456.8599853515625,413.10400390625,424.4400024414063,34483200,0,-0.07192557601231164,-0.07464335114905,,454.20125180199034,,456.0440536199832,,457.00671128609883,,,43.7559814453125,0.10309108753563583,,,,,,,,,457.3340148925781,,,21056800.0,,,468.1740112304688,,,452.4219970703125,,,-32.89401245117182
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,394.7959899902344,37919700,0,-0.06984264508683835,-0.07240150831598667,,448.54360781991835,,453.6421687717578,,456.3876991339012,,,43.302978515625,0.10968444364568175,,,,,,,,,424.4400024414063,,,34483200.0,,,456.8599853515625,,,413.10400390625,,,-29.644012451171932
2014-09-20,394.6730041503906,423.2959899902344,389.8829956054688,408.9039916992188,36863600,0,0.03573491642945359,0.03511123892407983,,444.7684062846136,,451.88773045518764,,455.9152244330586,,,33.41299438476557,0.08171354416452717,,,,,,,,,394.7959899902344,,,37919700.0,,,427.8349914550781,,,384.5320129394531,,,14.108001708984432
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,398.8210144042969,26580100,0,-0.024658544547392802,-0.024967658573127792,,440.39246420077393,,449.8066827669174,,455.34712284073265,,,19.2449951171875,0.048254716833146284,,,,,,,,,408.9039916992188,,,36863600.0,,,423.2959899902344,,,389.8829956054688,,,-10.082977294921932
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,402.1520080566406,24127600,0,0.008352101649706567,0.008317415847792081,,436.75051599657075,,447.93787199396536,,454.8178182160154,,,9.785980224609375,0.024334032973996937,,,,,,,,,398.8210144042969,,,26580100.0,,,412.4259948730469,,,393.1809997558594,,,3.33099365234375
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,435.7909851074219,45099500,0,0.08364741783421215,0.08033258980830758,,436.65913210236613,,447.46152348861074,,454.62849649354183,,,45.360015869140625,0.10408663193883977,,,,,,,,,402.1520080566406,,,24127600.0,,,406.9159851074219,,,397.1300048828125,,,33.63897705078125
2014-09-24,435.7510070800781,436.1119995117188,421.1319885253906,423.2049865722656,30627700,0,-0.028880814347395978,-0.029306072958098176,,435.3777849090232,,446.5102867467933,,454.3158247530316,,,14.980010986328182,0.035396584306953166,,,,,,,,,435.7909851074219,457.3340148925781,,45099500.0,21056800.0,,441.5570068359375,468.1740112304688,,396.1969909667969,452.4219970703125,,-12.58599853515625
2014-09-25,423.156005859375,423.5199890136719,409.4679870605469,411.5740051269531,26814400,0,-0.027483091679796234,-0.027867817193167922,,433.11075826311173,,445.14023648719177,,453.89053301545874,,,14.052001953125,0.03414210270347505,,,,,,,,,423.2049865722656,424.4400024414063,,30627700.0,34483200.0,,436.1119995117188,456.8599853515625,,421.1319885253906,413.10400390625,,-11.6309814453125
2014-09-26,411.4289855957031,414.93798828125,400.0090026855469,404.4249877929688,21460800,0,-0.01736994378879475,-0.017522571265166875,,430.3787801230981,,443.54356006781046,,453.398338535633,,,14.928985595703125,0.03691410285297578,,,,,,,,,411.5740051269531,394.7959899902344,,26814400.0,37919700.0,,423.5199890136719,427.8349914550781,,409.4679870605469,384.5320129394531,,-7.149017333984318
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,399.5199890136719,15029300,0,-0.012128327693262775,-0.012202475999442316,,427.4398476364861,,441.8171455166678,,452.86223555531495,,,9.2509765625,0.02315522831620679,,,,,,,,,404.4249877929688,408.9039916992188,,21460800.0,36863600.0,,414.93798828125,423.2959899902344,,400.0090026855469,389.8829956054688,,-4.904998779296932
2014-09-28,399.4710083007813,401.0169982910156,374.3320007324219,377.1809997558594,23613300,0,-0.055914572166871124,-0.05753862134517328,,422.653290695474,,439.28239470251845,,452.10918843293234,,,26.68499755859375,0.07074852014249482,,,,,,,,,399.5199890136719,398.8210144042969,,15029300.0,26580100.0,,406.62298583984375,412.4259948730469,,397.37200927734375,393.1809997558594,,-22.3389892578125
